,X,Y,Z,RSSI
0,-3714.882230244772,3069.2421633898043,-53.779508668129104,-104.0
1,-3719.3305877540397,3070.6883694894686,-54.17622237395407,-103.0
2,-3721.513826412135,3072.1344868464407,-56.77425345057405,-103.0
3,-3725.0397083031207,3073.4698457659265,-58.57155386260391,-102.0
4,-3740.3177870782993,3076.144870760417,-62.36133418504671,-103.0
5,-3746.613697200543,3076.1483837293517,-62.95764285111192,-100.0
6,-3753.3293090078632,3075.929904882877,-63.353805963579276,-100.0
7,-3760.3805709660196,3075.9337208121347,-63.749656960614004,-100.0
8,-3767.6836562065137,3075.937673286211,-64.14535157519818,-102.0
9,-3817.710872483437,3079.2955549598532,-64.51402286505024,-103.0
10,-3837.7714294629773,3081.5271197253855,-64.30092104895985,-104.0
11,-3844.654453260204,3081.7528514502455,-64.29667250341032,-102.0
12,-3851.621647942435,3081.3121890181924,-64.09268845092672,-102.0
13,-3858.6731906780087,3079.8719588092663,-63.68912964075566,-101.0
14,-3865.976854884469,3078.098791517593,-63.48557125191983,-101.0
15,-3873.532282109897,3076.2146103584737,-63.08190495598506,-103.0
16,-3888.4749128068065,3073.3347432185237,-62.47421727856739,-102.0
17,-3895.862048514392,3072.0056897114277,-61.870357565012235,-102.0
18,-3903.0813074602843,3070.8987667234537,-61.46648447783291,-100.0
19,-3909.964804358123,3069.791671463478,-61.062808658454664,-99.0
20,-3916.7644842769137,3068.6846343141588,-60.859176658493986,-101.0
21,-3924.067993439199,3067.4669122922505,-60.85528114434132,-102.0
22,-3939.5983052890942,3064.920833271824,-60.64694819967075,-101.0
23,-3947.1535245096143,3063.9253858954276,-60.64276329364319,-98.0
24,-3954.288860994261,3063.262893153836,-60.63866896551274,-98.0
25,-3961.172560268276,3062.489309279097,-60.83477618627064,-98.0
26,-3968.223898425222,3061.93784258135,-60.830664809690866,-98.0
27,-3981.991234113513,3059.835129138337,-60.62310840412401,-99.0
28,-3989.462705274525,3058.5065059767458,-60.61908501875091,-98.0
29,-3997.605824737117,3056.7339297331496,-60.41484552032529,-99.0
30,-4006.0007097329826,3055.072558552219,-60.21038386036025,-99.0
31,-4014.3956627115986,3053.522351013185,-60.20585741005653,-101.0
32,-4022.7905581192663,3052.0832110407014,-60.201266311237156,-99.0
33,-4039.7484251238,3048.871878990268,-60.192103329718165,-101.0
34,-4048.3954654061567,3047.099829551546,-60.38747754708546,-102.0
35,-4057.210207676721,3045.6610571638494,-60.58257353104767,-104.0
36,-4066.0249502273973,3044.000083774347,-60.57776326469354,-103.0
37,-4082.730590754633,3041.121693833654,-60.1684834059409,-97.0
38,-4090.621614446651,3039.9043708727377,-59.964016368452604,-101.0
39,-4106.152101818147,3037.4698002629607,-59.95521416063458,-102.0
40,-4114.379151036501,3036.03067124807,-59.95060695025608,-107.0
41,-4123.109979919839,3034.591930836128,-60.145663528902396,-101.0
42,-4140.487775095795,3031.8255867103862,-60.73574137998536,-99.0
43,-4157.697774903688,3029.392552166855,-61.72572143219465,-101.0
44,-4165.085637661539,3028.5086730741336,-62.52132928652761,-107.0
45,-4179.44225806581,3026.8522303904406,-65.11274061653211,-102.0
46,-4223.854369269647,3018.2167384471536,-68.28762949360026,-99.0
47,-4239.386263684683,3014.005708182856,-68.67933595174492,-106.0
48,-4246.85895463198,3011.9004132665154,-69.67536912104615,-101.0
49,-4254.416259923979,3009.795647170718,-71.67133657647821,-98.0
50,-4262.0579124395435,3007.469009242527,-74.06734312218292,-103.0
51,-4269.699575561031,3005.1423775470525,-76.46333966505537,-103.0
52,-4277.25697853951,3003.148783321432,-78.65922540653156,-103.0
53,-4293.294033057174,2999.2724603887464,-81.45029558804626,-102.0
54,-4301.354102261223,2997.1673712463567,-82.04586508060153,-104.0
55,-4309.497657229184,2995.6175374420513,-82.44110593755019,-102.0
56,-4317.473529513772,2993.734438461748,-82.83660618128198,-101.0
57,-4333.676778300944,2990.0792855030895,-83.22735217473478,-105.0
58,-4341.904153682032,2988.30723231644,-83.22259734977773,-101.0
59,-4350.215743547657,2986.3132155636818,-83.4178783215704,-104.0
60,-4376.325800208571,2980.220866158178,-84.00289913190915,-102.0
61,-4394.7956842328385,2976.122877027875,-84.1921360249342,-102.0
62,-4403.862848321098,2973.796106200034,-84.18697891894388,-101.0
63,-4412.846004799329,2971.3581442420536,-83.98191798400697,-102.0
64,-4422.165141517782,2968.809431518918,-83.9766626274188,-104.0
65,-4431.735972931969,2966.2607900629814,-83.77121792512585,-102.0
66,-4461.203857822491,2959.2819386231054,-83.55395405063452,-105.0
67,-4471.6980204178,2957.289390811947,-83.74754242689227,-103.0
68,-4516.359000767538,2950.097488583069,-82.51945835548612,-105.0
69,-4547.420623368269,2945.452288511306,-82.49957219864736,-101.0
70,-4562.11147760225,2944.462098860231,-82.88955491127582,-102.0
71,-4667.374981386171,2947.083609902598,-84.41229256083037,-104.0
72,-4682.819334089103,2948.3149408402937,-84.00041804973355,-102.0
73,-4707.162524027856,2948.5526870128956,-83.98241492601349,-102.0
74,-4790.518551176849,2947.3853622213946,-84.32098401191993,-103.0
75,-4863.384426327841,2952.102083047923,-93.26373716227619,-103.0
76,-4954.962466205658,2951.8282554547163,-88.59347909812995,-104.0
77,-4964.867677699453,2951.390554761309,-88.18599052309376,-105.0
78,-4984.09293997825,2947.627553259975,-87.97276235432076,-103.0
79,-5003.487089874464,2942.198749127308,-87.56011217156737,-102.0
80,-5034.9713150356665,2933.6687676894376,-87.33931044625184,-103.0
81,-5108.76906464559,2915.0615869215544,-86.08926359062711,-104.0
82,-5208.164047862643,2908.6914103271656,-88.41190940236032,-101.0
83,-5217.312109572191,2911.807842315585,-89.00301873935399,-102.0
84,-5221.421948800256,2918.586166492852,-90.79655589607424,-101.0
85,-5219.907636957769,2926.693733621066,-93.794071056123,-102.0
86,-5201.258358720091,2951.781901306944,-98.5976977117888,-102.0
87,-5194.284969342882,2960.883938738514,-98.99914361927912,-102.0
88,-5187.2268514075595,2970.429878842578,-98.8004302319629,-101.0
89,-5180.084647769694,2979.975672166462,-98.40176290172138,-101.0
90,-5118.631636848955,2987.7054709210825,-96.2476783385337,-105.0
91,-5116.202040225505,2980.262563858503,-95.65311489268993,-102.0
92,-5113.856682905707,2971.931062799589,-94.6588892875918,-102.0
93,-5083.409552574777,2938.148306445714,-95.29888166706392,-103.0
94,-5074.26058720185,2938.364622790967,-96.50605682438976,-98.0
95,-5065.9485744754165,2941.690986967223,-97.31111795282189,-102.0
96,-5058.306562664303,2946.794577820496,-97.71481302933863,-102.0
97,-5043.943403042647,2960.4451452869903,-98.31983519338281,-99.0
98,-5037.642284039195,2968.7703853370494,-98.72092925660202,-98.0
99,-5033.019257077865,2977.985162420519,-98.92026785576567,-99.0
100,-5029.151110612179,2988.088931430733,-99.11857806044428,-100.0
101,-5025.366453918363,2998.6369011134248,-99.11659479682555,-102.0
102,-5021.581660118851,3009.6292019087805,-99.3143818561603,-98.0
103,-5013.5081458349305,3031.8354885998538,-99.5101821237194,-98.0
104,-5009.387239131756,3043.3828608629597,-99.7079029558903,-99.0
105,-5005.182246921517,3054.930082899134,-99.70566605136577,-101.0
106,-5000.725367833034,3066.588193952753,-99.70354918993013,-107.0
107,-4849.931093647687,2987.8547476343865,-94.85727953251055,-104.0
108,-4750.2476536048125,2930.0403326416204,-98.15907539064301,-99.0
109,-4740.004676566713,2933.2544778976517,-98.36520391760227,-98.0
110,-4709.692213201448,2947.783756412461,-98.78091207817486,-96.0
111,-4701.1258402182075,2954.330703241333,-98.78418629252513,-96.0
112,-4695.748016154693,2962.878762311839,-98.78416756654713,-94.0
113,-4693.391419908731,2972.5393502297325,-98.78139400046268,-96.0
114,-4692.629381973505,2982.9784662256484,-98.97706879961018,-98.0
115,-4691.187748859151,3005.7445620364288,-98.96741456923542,-96.0
116,-4690.3408488426685,3017.627388104758,-99.16241245574898,-98.0
117,-4689.4099384290985,3029.6212200027494,-99.35739686862242,-97.0
118,-4688.479106526215,3041.7262072028493,-99.7523054227683,-98.0
119,-4685.098532562555,3078.3737858764557,-100.53716242214931,-98.0
120,-4683.999759980766,3090.589730957657,-100.93204686933568,-99.0
121,-4682.900768800152,3102.6944242698837,-100.92696193013938,-96.0
122,-4681.885797505177,3114.9103282613123,-101.12173782843207,-95.0
123,-4680.6189319592695,3127.0149152495087,-101.1167293289363,-96.0
124,-4673.134570437455,3148.111182532854,-100.91180708209487,-102.0
125,-4666.246414087161,3155.769734871223,-100.71304911920247,-101.0
126,-4658.184382908967,3161.428488925083,-100.51612455989427,-100.0
127,-4629.719669480797,3174.6259973283823,-99.73024853630005,-99.0
128,-4629.719669480797,3174.6259973283823,-99.73024853630005,-101.0
129,-4608.982030428335,3180.942942141716,-99.14209077832017,-101.0
130,-4598.151798164106,3183.6013320199795,-98.74856665443092,-99.0
131,-4587.153625450401,3186.3706909155885,-98.35508809708526,-98.0
132,-4554.914156605457,3196.345616152974,-97.97315643498318,-102.0
133,-4544.925792048383,3195.3397729111366,-97.78077640609783,-96.0
134,-4537.289607918291,3191.5590366240067,-97.78810266130867,-96.0
135,-4532.172363975669,3186.1137893185646,-97.39446426062709,-96.0
136,-4528.734533058484,3179.670058550593,-97.00012563867426,-96.0
137,-4526.6400051277715,3172.3384934732408,-96.20526935920607,-94.0
138,-4524.383708115027,3154.90039905712,-95.21553735690047,-90.0
139,-4523.717612314052,3145.9041418866955,-95.02046309026004,-93.0
140,-4524.058259273936,3138.241408392748,-95.2240056828873,-94.0
141,-4526.329019260915,3133.0238468178927,-96.82496866612662,-90.0
142,-4533.222930141588,3125.2581358616317,-105.2239017346199,-92.0
143,-4534.320380205558,3120.041111810251,-109.42568452637714,-91.0
144,-4533.823217243369,3113.7122097634146,-113.02913884613363,-93.0
145,-4533.158993054634,3105.8282740770514,-116.43346450719879,-93.0
146,-4531.739695867725,3096.610862217321,-119.23896491705094,-96.0
147,-4529.060636289925,3087.5033335281346,-121.24529139839149,-101.0
148,-4518.914692790418,3072.505244210833,-123.65973775613703,-98.0
149,-4468.242581974227,3043.2729274269886,-139.10943856428858,-96.0
150,-4457.585172449686,3041.3798468854156,-142.11779097059696,-93.0
151,-4448.183616698599,3043.707324994397,-144.12323282528556,-94.0
152,-4440.961569114397,3049.8116829178807,-145.12533560468452,-94.0
153,-4435.24947424807,3057.3606426678275,-145.92568209328184,-93.0
154,-4429.6154204616905,3075.349536878937,-147.32092355621882,-95.0
155,-4428.0988301712205,3085.566479116933,-148.11702933426338,-93.0
156,-4426.581768778003,3096.3386244795456,-148.71284846496008,-95.0
157,-4424.812412105129,3107.6658197505326,-149.10855265564973,-92.0
158,-4421.44098828792,3131.097636046915,-149.6994007150279,-93.0
159,-4419.922858178996,3142.9800892984954,-149.69459339599925,-93.0
160,-4418.908517451561,3154.8629465718473,-149.8894148991848,-92.0
161,-4418.565639888221,3166.857270198997,-150.08369413017147,-96.0
162,-4419.222803521328,3191.0688510033256,-150.47114396311585,-94.0
163,-4421.138996613214,3215.170036354877,-150.65768600132952,-91.0
164,-4421.2156806439,3227.164516677582,-150.65156113487794,-92.0
165,-4420.78865680893,3239.26975224917,-150.64570591062164,-93.0
166,-4420.025803424771,3251.2636233751555,-150.44011685365,-95.0
167,-4418.7592467014265,3263.368249211467,-150.2347967671127,-92.0
168,-4411.359335064531,3285.02029529355,-150.0287704615467,-93.0
169,-4404.555405581211,3292.568038023081,-149.6295646064025,-95.0
170,-4396.82943176446,3298.2273227621367,-149.43195649210693,-98.0
171,-4388.34907967551,3301.886986758797,-149.03589015848797,-99.0
172,-4379.533841246104,3303.880462521374,-148.44090533279368,-104.0
173,-4361.48621433237,3304.0913795630163,-147.65314412600856,-105.0
174,-4030.5535946345567,3157.9374318267646,-83.74472660938095,-103.0
175,-4019.5614612204795,3153.8236077520905,-86.55369446559307,-101.0
176,-4008.5690805243316,3151.2651101439,-90.36187115243764,-102.0
177,-3997.324614973971,3149.1507224885136,-94.16996586722715,-101.0
178,-3985.912184432828,3146.9251005897486,-97.77819984026127,-99.0
179,-3962.66743691255,3142.4735764833167,-104.79486483021462,-104.0
180,-3951.0868818306344,3140.358870588881,-108.20308371542149,-104.0
181,-3939.3387328393383,3138.1332287748733,-112.01143909098042,-100.0
182,-3927.5062529832453,3135.9072624142073,-115.21982389847982,-101.0
183,-3879.246637693035,3125.7759242023467,-116.85430042063916,-103.0
184,-3828.367690924306,3116.9629204101966,-91.28931282791716,-105.0
185,-3828.7885932003483,3116.9641198443214,-93.28906055609744,-98.0
186,-3828.0371297831753,3116.189253064108,-99.2898922678868,-98.0
187,-3823.590702247922,3114.9667492456692,-102.29315493590703,-102.0
